year,stage_number,stage_name,group_name,position,team_name,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
1994,1,group stage,Group C,1,Germany,3,2,1,0,5,3,2,7,1
1994,1,group stage,Group C,2,Spain,3,1,2,0,6,4,2,5,1
1994,1,group stage,Group C,3,South Korea,3,0,2,1,4,5,-1,2,0
1994,1,group stage,Group C,4,Bolivia,3,0,1,2,1,4,-3,1,0
1994,1,group stage,Group D,1,Nigeria,3,2,0,1,6,2,4,6,1
1994,1,group stage,Group D,2,Bulgaria,3,2,0,1,6,3,3,6,1
1994,1,group stage,Group D,3,Argentina,3,2,0,1,6,3,3,6,1
1994,1,group stage,Group D,4,Greece,3,0,0,3,0,10,-10,0,0
1994,1,group stage,Group E,1,Mexico,3,1,1,1,3,3,0,4,1
1994,1,group stage,Group E,2,Republic of Ireland,3,1,1,1,2,2,0,4,1
1994,1,group stage,Group E,3,Italy,3,1,1,1,2,2,0,4,1
1994,1,group stage,Group E,4,Norway,3,1,1,1,1,1,0,4,0
1994,1,group stage,Group F,1,Netherlands,3,2,0,1,4,3,1,6,1
1994,1,group stage,Group F,2,Saudi Arabia,3,2,0,1,4,3,1,6,1
1994,1,group stage,Group F,3,Belgium,3,2,0,1,2,1,1,6,1
1994,1,group stage,Group F,4,Morocco,3,0,0,3,2,5,-3,0,0
1998,1,group stage,Group A,1,Brazil,3,2,0,1,6,3,3,6,1
1998,1,group stage,Group A,2,Norway,3,1,2,0,5,4,1,5,1
1998,1,group stage,Group A,3,Morocco,3,1,1,1,5,5,0,4,0
1998,1,group stage,Group A,4,Scotland,3,0,1,2,2,6,-4,1,0
1998,1,group stage,Group B,1,Italy,3,2,1,0,7,3,4,7,1
1998,1,group stage,Group B,2,Chile,3,0,3,0,4,4,0,3,1
1998,1,group stage,Group B,3,Austria,3,0,2,1,3,4,-1,2,0
1998,1,group stage,Group B,4,Cameroon,3,0,2,1,2,5,-3,2,0
1998,1,group stage,Group C,1,France,3,3,0,0,9,1,8,9,1
1998,1,group stage,Group C,2,Denmark,3,1,1,1,3,3,0,4,1
1998,1,group stage,Group C,3,South Africa,3,0,2,1,3,6,-3,2,0
1998,1,group stage,Group C,4,Saudi Arabia,3,0,1,2,2,7,-5,1,0
1998,1,group stage,Group D,1,Nigeria,3,2,0,1,5,5,0,6,1
1998,1,group stage,Group D,2,Paraguay,3,1,2,0,3,1,2,5,1
1998,1,group stage,Group D,3,Spain,3,1,1,1,8,4,4,4,0
1998,1,group stage,Group D,4,Bulgaria,3,0,1,2,1,7,-6,1,0
1998,1,group stage,Group E,1,Netherlands,3,1,2,0,7,2,5,5,1
1998,1,group stage,Group E,2,Mexico,3,1,2,0,7,5,2,5,1
1998,1,group stage,Group E,3,Belgium,3,0,3,0,3,3,0,3,0
1998,1,group stage,Group E,4,South Korea,3,0,1,2,2,9,-7,1,0
1998,1,group stage,Group F,1,Germany,3,2,1,0,6,2,4,7,1
1998,1,group stage,Group F,2,Yugoslavia,3,2,1,0,4,2,2,7,1
1998,1,group stage,Group F,3,Iran,3,1,0,2,2,4,-2,3,0
1998,1,group stage,Group F,4,United States,3,0,0,3,1,5,-4,0,0
1998,1,group stage,Group G,1,Romania,3,2,1,0,4,2,2,7,1
1998,1,group stage,Group G,2,England,3,2,0,1,5,2,3,6,1
1998,1,group stage,Group G,3,Colombia,3,1,0,2,1,3,-2,3,0
1998,1,group stage,Group G,4,Tunisia,3,0,1,2,1,4,-3,1,0
1998,1,group stage,Group H,1,Argentina,3,3,0,0,7,0,7,9,1
1998,1,group stage,Group H,2,Croatia,3,2,0,1,4,2,2,6,1
1998,1,group stage,Group H,3,Jamaica,3,1,0,2,3,9,-6,3,0
1998,1,group stage,Group H,4,Japan,3,0,0,3,1,4,-3,0,0
2002,1,group stage,Group A,1,Denmark,3,2,1,0,5,2,3,7,1
2002,1,group stage,Group A,2,Senegal,3,1,2,0,5,4,1,5,1
2002,1,group stage,Group A,3,Uruguay,3,0,2,1,4,5,-1,2,0
2002,1,group stage,Group A,4,France,3,0,1,2,0,3,-3,1,0
2002,1,group stage,Group B,1,Spain,3,3,0,0,9,4,5,9,1
2002,1,group stage,Group B,2,Paraguay,3,1,1,1,6,6,0,4,1
2002,1,group stage,Group B,3,South Africa,3,1,1,1,5,5,0,4,0
2002,1,group stage,Group B,4,Slovenia,3,0,0,3,2,7,-5,0,0
2002,1,group stage,Group C,1,Brazil,3,3,0,0,11,3,8,9,1
2002,1,group stage,Group C,2,Turkey,3,1,1,1,5,3,2,4,1
2002,1,group stage,Group C,3,Costa Rica,3,1,1,1,5,6,-1,4,0
2002,1,group stage,Group C,4,China,3,0,0,3,0,9,-9,0,0
2002,1,group stage,Group D,1,South Korea,3,2,1,0,4,1,3,7,1
2002,1,group stage,Group D,2,United States,3,1,1,1,5,6,-1,4,1
2002,1,group stage,Group D,3,Portugal,3,1,0,2,6,4,2,3,0
2002,1,group stage,Group D,4,Poland,3,1,0,2,3,7,-4,3,0
2002,1,group stage,Group E,1,Germany,3,2,1,0,11,1,10,7,1
2002,1,group stage,Group E,2,Republic of Ireland,3,1,2,0,5,2,3,5,1
2002,1,group stage,Group E,3,Cameroon,3,1,1,1,2,3,-1,4,0
2002,1,group stage,Group E,4,Saudi Arabia,3,0,0,3,0,12,-12,0,0
2002,1,group stage,Group F,1,Sweden,3,1,2,0,4,3,1,5,1
2002,1,group stage,Group F,2,England,3,1,2,0,2,1,1,5,1
2002,1,group stage,Group F,3,Argentina,3,1,1,1,2,2,0,4,0
2002,1,group stage,Group F,4,Nigeria,3,0,1,2,1,3,-2,1,0
2002,1,group stage,Group G,1,Mexico,3,2,1,0,4,2,2,7,1
