manager_name,manager_wikipedia_link,given_name,family_name,country_name,female
David Gould,https://en.wikipedia.org/wiki/David_Gould,David,Gould,United States,0
Ron Greenwood,https://en.wikipedia.org/wiki/Ron_Greenwood,Ron,Greenwood,England,0
Sergio Guenza,https://en.wikipedia.org/wiki/Sergio_Guenza,Sergio,Guenza,Italy,0
Henri Guérin,https://en.wikipedia.org/wiki/Henri_Gu%C3%A9rin_(footballer),Henri,Guérin,France,0
Alexandre Guimarães,https://en.wikipedia.org/wiki/Alexandre_Guimar%C3%A3es,Alexandre,Guimarães,Costa Rica,0
Şenol Güneş,https://en.wikipedia.org/wiki/%C5%9Eenol_G%C3%BCne%C5%9F,Şenol,Güneş,Turkey,0
Vahid Halilhodžić,https://en.wikipedia.org/wiki/Vahid_Halilhod%C5%BEi%C4%87,Vahid,Halilhodžić,Bosnia and Herzegovina,0
Heimir Hallgrímsson,https://en.wikipedia.org/wiki/Heimir_Hallgr%C3%ADmsson,Heimir,Hallgrímsson,Iceland,0
Asbjørn Halvorsen,https://en.wikipedia.org/wiki/Asbj%C3%B8rn_Halvorsen,Asbjørn,Halvorsen,Norway,0
Paul Hamilton,"https://en.wikipedia.org/wiki/Paul_Hamilton_(footballer,_born_1941)",Paul,Hamilton,Nigeria,0
Hao Wei,https://en.wikipedia.org/wiki/Hao_Wei,Wei,Hao,China,0
Ernst Happel,https://en.wikipedia.org/wiki/Ernst_Happel,Ernst,Happel,Austria,0
Åge Hareide,https://en.wikipedia.org/wiki/%C3%85ge_Hareide,Åge,Hareide,Norway,0
Kenneth Heiner-Møller,https://en.wikipedia.org/wiki/Kenneth_Heiner-M%C3%B8ller,Kenneth,Heiner-Møller,Denmark,0
April Heinrichs,https://en.wikipedia.org/wiki/April_Heinrichs,April,Heinrichs,United States,1
Sepp Herberger,https://en.wikipedia.org/wiki/Sepp_Herberger,Sepp,Herberger,Germany,0
Ricki Herbert,https://en.wikipedia.org/wiki/Ricki_Herbert,Ricki,Herbert,New Zealand,0
John Herdman,https://en.wikipedia.org/wiki/John_Herdman,John,Herdman,England,0
Helenio Herrera,https://en.wikipedia.org/wiki/Helenio_Herrera,Helenio,Herrera,Argentina,0
Miguel Herrera,https://en.wikipedia.org/wiki/Miguel_Herrera,Miguel,Herrera,Mexico,0
Josef Hickersberger,https://en.wikipedia.org/wiki/Josef_Hickersberger,Josef,Hickersberger,Austria,0
Michel Hidalgo,https://en.wikipedia.org/wiki/Michel_Hidalgo,Michel,Hidalgo,France,0
Guus Hiddink,https://en.wikipedia.org/wiki/Guus_Hiddink,Guus,Hiddink,Netherlands,0
Fernando Hierro,https://en.wikipedia.org/wiki/Fernando_Hierro,Fernando,Hierro,Spain,0
