team_name,player_name,given_name,family_name,player_wikipedia_link
Tunisia,Ahmed Khalil,Ahmed,Khalil,"https://en.wikipedia.org/wiki/Ahmed_Khalil_(footballer,_born_1994)"
Morocco,Ahmed Masbahi,Ahmed,Masbahi,https://en.wikipedia.org/wiki/Ahmed_Masbahi
Nigeria,Ahmed Musa,Ahmed,Musa,https://en.wikipedia.org/wiki/Ahmed_Musa
Iraq,Ahmed Radhi,Ahmed,Radhi,https://en.wikipedia.org/wiki/Ahmed_Radhi
Egypt,Ahmed Ramzy,Ahmed,Ramzy,https://en.wikipedia.org/wiki/Ahmed_Ramzy_(footballer)
Morocco,Ahmed Reda Tagnaouti,Ahmed Reda,Tagnaouti,https://en.wikipedia.org/wiki/Ahmed_Reda_Tagnaouti
Egypt,Ahmed Shobair,Ahmed,Shobair,https://en.wikipedia.org/wiki/Ahmed_Shobair
Turkey,Ahmet Berman,Ahmet,Berman,https://en.wikipedia.org/wiki/Ahmet_Berman
South Korea,Ahn Jung-hwan,Jung-hwan,Ahn,https://en.wikipedia.org/wiki/Ahn_Jung-hwan
Tunisia,Aïssa Laïdouni,Aïssa,Laïdouni,https://en.wikipedia.org/wiki/A%C3%AFssa_La%C3%AFdouni
Algeria,Aïssa Mandi,Aïssa,Mandi,https://en.wikipedia.org/wiki/A%C3%AFssa_Mandi
Australia,Ajdin Hrustic,Ajdin,Hrustic,https://en.wikipedia.org/wiki/Ajdin_Hrustic
Sweden,Åke Andersson,Åke,Andersson,"https://en.wikipedia.org/wiki/%C3%85ke_Andersson_(footballer,_born_1917)"
Sweden,Åke Johansson,Åke,Johansson,https://en.wikipedia.org/wiki/%C3%85ke_Johansson
Soviet Union,Akhrik Tsveiba,Akhrik,Tsveiba,https://en.wikipedia.org/wiki/Akhrik_Tsveiba
West Germany,Aki Schmidt,Aki,Schmidt,https://en.wikipedia.org/wiki/Aki_Schmidt
Japan,Akinori Nishizawa,Akinori,Nishizawa,https://en.wikipedia.org/wiki/Akinori_Nishizawa
Japan,Akira Kaji,Akira,Kaji,https://en.wikipedia.org/wiki/Akira_Kaji
Japan,Akira Narahashi,Akira,Narahashi,https://en.wikipedia.org/wiki/Akira_Narahashi
Qatar,Akram Afif,Akram,Afif,https://en.wikipedia.org/wiki/Akram_Afif
Angola,Akwá,not applicable,Akwá,https://en.wikipedia.org/wiki/Akw%C3%A1
United States,Al Harker,Al,Harker,https://en.wikipedia.org/wiki/Al_Harker
Saudi Arabia,Al Hasan Al-Yami,Al Hasan,Al-Yami,https://en.wikipedia.org/wiki/Al_Hasan_Al-Yami
Egypt,Alaa Maihoub,Alaa,Maihoub,https://en.wikipedia.org/wiki/Alaa_Maihoub
Tunisia,Alaeddine Yahia,Alaeddine,Yahia,https://en.wikipedia.org/wiki/Alaeddine_Yahia
France,Alain Boghossian,Alain,Boghossian,https://en.wikipedia.org/wiki/Alain_Boghossian
France,Alain Couriol,Alain,Couriol,https://en.wikipedia.org/wiki/Alain_Couriol
Switzerland,Alain Geiger,Alain,Geiger,https://en.wikipedia.org/wiki/Alain_Geiger
France,Alain Giresse,Alain,Giresse,https://en.wikipedia.org/wiki/Alain_Giresse
Switzerland,Alain Sutter,Alain,Sutter,https://en.wikipedia.org/wiki/Alain_Sutter
Togo,Alaixys Romao,Alaixys,Romao,https://en.wikipedia.org/wiki/Alaixys_Romao
England,Alan A'Court,Alan,A'Court,https://en.wikipedia.org/wiki/Alan_A%27Court
England,Alan Ball,Alan,Ball,https://en.wikipedia.org/wiki/Alan_Ball_Jr.
Scotland,Alan Brazil,Alan,Brazil,https://en.wikipedia.org/wiki/Alan_Brazil
Russia,Alan Dzagoev,Alan,Dzagoev,https://en.wikipedia.org/wiki/Alan_Dzagoev
Ecuador,Alan Franco,Alan,Franco,"https://en.wikipedia.org/wiki/Alan_Franco_(footballer,_born_1998)"
Scotland,Alan Hansen,Alan,Hansen,https://en.wikipedia.org/wiki/Alan_Hansen
England,Alan Hodgkinson,Alan,Hodgkinson,https://en.wikipedia.org/wiki/Alan_Hodgkinson
Republic of Ireland,Alan Kelly,Alan,Kelly,https://en.wikipedia.org/wiki/Alan_Kelly_Jr.
Republic of Ireland,Alan Kernaghan,Alan,Kernaghan,https://en.wikipedia.org/wiki/Alan_Kernaghan
Northern Ireland,Alan McDonald,Alan,McDonald,https://en.wikipedia.org/wiki/Alan_McDonald_(Northern_Irish_footballer)
Scotland,Alan McInally,Alan,McInally,https://en.wikipedia.org/wiki/Alan_McInally
Republic of Ireland,Alan McLoughlin,Alan,McLoughlin,https://en.wikipedia.org/wiki/Alan_McLoughlin
England,Alan Mullery,Alan,Mullery,https://en.wikipedia.org/wiki/Alan_Mullery
England,Alan Peacock,Alan,Peacock,https://en.wikipedia.org/wiki/Alan_Peacock
Mexico,Alan Pulido,Alan,Pulido,https://en.wikipedia.org/wiki/Alan_Pulido
Scotland,Alan Rough,Alan,Rough,https://en.wikipedia.org/wiki/Alan_Rough
England,Alan Shearer,Alan,Shearer,https://en.wikipedia.org/wiki/Alan_Shearer
Senegal,Alassane N'Dour,Alassane,N'Dour,https://en.wikipedia.org/wiki/Alassane_N%27Dour
Italy,Alberigo Evani,Alberigo,Evani,https://en.wikipedia.org/wiki/Alberigo_Evani
Ghana,Albert Adomah,Albert,Adomah,https://en.wikipedia.org/wiki/Albert_Adomah
West Germany,Albert Brülls,Albert,Brülls,https://en.wikipedia.org/wiki/Albert_Br%C3%BClls
Switzerland,Albert Büche,Albert,Büche,https://en.wikipedia.org/wiki/Albert_B%C3%BCche
Switzerland,Albert Bunjaku,Albert,Bunjaku,https://en.wikipedia.org/wiki/Albert_Bunjaku
Spain,Albert Celades,Albert,Celades,https://en.wikipedia.org/wiki/Albert_Celades
Spain,Albert Ferrer,Albert,Ferrer,https://en.wikipedia.org/wiki/Albert_Ferrer
Iceland,Albert Guðmundsson,Albert,Guðmundsson,"https://en.wikipedia.org/wiki/Albert_Gu%C3%B0mundsson_(footballer,_born_1997)"
Switzerland,Albert Guinchard,Albert,Guinchard,https://en.wikipedia.org/wiki/Albert_Guinchard
Belgium,Albert Heremans,Albert,Heremans,https://en.wikipedia.org/wiki/Albert_Heremans
Spain,Albert Luque,Albert,Luque,https://en.wikipedia.org/wiki/Albert_Luque
Serbia and Montenegro,Albert Nađ,Albert,Nađ,https://en.wikipedia.org/wiki/Albert_Na%C4%91
England,Albert Quixall,Albert,Quixall,https://en.wikipedia.org/wiki/Albert_Quixall
France,Albert Rust,Albert,Rust,https://en.wikipedia.org/wiki/Albert_Rust_(footballer)
Soviet Union,Albert Shesternyov,Albert,Shesternyov,https://en.wikipedia.org/wiki/Albert_Shesternyov
Bolivia,Alberto Achá,Alberto,Achá,https://en.wikipedia.org/wiki/Alberto_Ach%C3%A1
Bolivia,Alberto Aparicio,Alberto,Aparicio,https://en.wikipedia.org/wiki/Alberto_Aparicio
Italy,Alberto Aquilani,Alberto,Aquilani,https://en.wikipedia.org/wiki/Alberto_Aquilani
